Year,Emissions_air (Mg/yr)
1510,33.5
1520,37.9
1530,44.1
1540,52.8
1550,60.7
1560,96.2
1570,101.6
1580,107.1
1590,110.9
1600,113.4
1610,117.6
1620,122.6
1630,133.4
1640,146.2
1650,152
1660,139.1
1670,130.4
1680,122.9
1690,117.2
1700,112.3
1710,102.8
1720,116
1730,136.3
1740,160.4
1750,195
1760,216.8
1770,243.2
1780,269.8
1790,304.5
1800,302.6
1810,265.1
1820,240
1830,235.2
1840,281.5
1850,388.1
1860,514.5
1870,985.6
1880,1721.8
1890,2460
1900,2170.2
1910,2178
1920,1355.9
1930,1514.4
1940,2186.4
1950,1329.6
1960,2430.4
1970,3024.4
1980,1982.6
1990,1960.6
2000,1962.7
2010,2209.4